iter	Logloss
0	0.6744722068
1	0.6539697222
2	0.6404957022
3	0.6296770001
4	0.6218163131
5	0.6156356279
6	0.6103834964
7	0.6065494516
8	0.6046523487
9	0.6022618644
10	0.6007505641
11	0.5993474259
12	0.5987205979
13	0.5978248926
14	0.597215372
15	0.5970401275
16	0.5967745845
17	0.5964540231
18	0.5960988843
19	0.5959430682
20	0.5957247434
21	0.595618702
22	0.5955795042
23	0.5950879111
24	0.5949374915
25	0.5946524053
26	0.5945589841
27	0.5944931239
28	0.5940831483
29	0.5937414945
30	0.5934072366
31	0.5932498027
32	0.5929777758
33	0.592783638
34	0.5927787085
35	0.5926338552
36	0.5924050577
37	0.5924048292
38	0.5923098979
39	0.5921544844
40	0.5920132153
41	0.5919033758
42	0.5917960773
43	0.5916058086
44	0.5914169607
45	0.5914066705
46	0.5912274286
47	0.5910303956
48	0.5909638428
49	0.5908240813
50	0.5906119449
51	0.5904694612
52	0.5904348394
53	0.5903018636
54	0.5901456511
55	0.590103794
56	0.5897857445
57	0.5896854574
58	0.5895463483
59	0.5894103759
60	0.5892672332
61	0.5892001984
62	0.5891445706
63	0.5888914321
64	0.5886871951
65	0.5885744928
66	0.5884602525
67	0.5884406826
68	0.5880921925
69	0.5878393562
70	0.5877065618
71	0.5877039439
72	0.5876044659
73	0.5874829658
74	0.5874305144
75	0.5873024211
76	0.5872015135
77	0.5869885124
78	0.5867739195
79	0.5866310464
80	0.5866310439
81	0.5864174303
82	0.5862362243
83	0.5860532702
84	0.5860121084
85	0.5858909923
86	0.5857844006
87	0.5857624164
88	0.5856409079
89	0.5855741938
90	0.585287719
91	0.5851628521
92	0.5850115714
93	0.5848088675
94	0.5847320852
95	0.5846365162
96	0.5845231639
97	0.5844950953
98	0.5844228918
99	0.5842841532
100	0.5840910841
101	0.5840146628
102	0.5840066315
103	0.5840027696
104	0.5838932721
105	0.5838754605
106	0.5836146897
107	0.5835249847
108	0.5833761853
109	0.5832194998
110	0.5831273375
111	0.5831029392
112	0.5829616608
113	0.5828904998
114	0.5826423792
115	0.5824981365
116	0.5824502592
117	0.5823836852
118	0.5823551356
119	0.5822799269
120	0.5821367128
121	0.5820957603
122	0.581996587
123	0.5819208057
124	0.5817991378
125	0.5817655667
126	0.5817119154
127	0.5816237053
128	0.5815786567
129	0.5815497198
130	0.5814438372
131	0.581396046
132	0.5813223998
133	0.581187243
134	0.5811627801
135	0.5810286852
136	0.5809654804
137	0.5807721129
138	0.5806730184
139	0.580518235
140	0.5804569015
141	0.5802058587
142	0.5801865521
143	0.5800129726
144	0.5798786353
145	0.5798783784
146	0.5798657636
147	0.5797095054
148	0.5796252216
149	0.5794837977
150	0.5794285087
151	0.5792959471
152	0.579167647
153	0.5789706384
154	0.5788256027
155	0.5786380017
156	0.5785471688
157	0.5784929876
158	0.5782060752
159	0.5781206079
160	0.5779658818
161	0.5777780052
162	0.5775667587
163	0.5774435842
164	0.5773703645
165	0.5771537388
166	0.5771160989
167	0.5770471243
168	0.5769930854
169	0.5769650419
170	0.576851675
171	0.5767907857
172	0.576666755
173	0.5765049958
174	0.5764127524
175	0.5761932561
176	0.5760315849
177	0.5759260153
178	0.5758191288
179	0.5757267542
180	0.5756174522
181	0.5755298931
182	0.575374749
183	0.5752948166
184	0.5751442985
185	0.574990525
186	0.57480201
187	0.5746438192
188	0.57447983
189	0.5743803737
190	0.5741475435
191	0.5738511845
192	0.573784846
193	0.5736976955
194	0.573529779
195	0.5734026368
196	0.5732065996
197	0.5730011611
198	0.5728300861
199	0.5727044836
200	0.5726338559
201	0.572582841
202	0.5724918997
203	0.5722946823
204	0.5720558211
205	0.5719506999
206	0.5715788406
207	0.5714714548
208	0.5712814555
209	0.5711016518
210	0.5709554356
211	0.5708864116
212	0.5707389707
213	0.5706530701
214	0.5703391632
215	0.5702447254
216	0.5701064719
217	0.5700369558
218	0.5699639678
219	0.5698400942
220	0.5698038474
221	0.5696774271
222	0.5694899682
223	0.5692676551
224	0.5689778637
225	0.5688791001
226	0.5688200324
227	0.5686789452
228	0.5685686133
229	0.5684781614
230	0.568267751
231	0.5681423258
232	0.568020504
233	0.5679051274
234	0.5678670199
235	0.5677197029
236	0.5676319203
237	0.5675570069
238	0.5673911259
239	0.5671680885
240	0.5670575999
241	0.5669951195
242	0.5668825114
243	0.5667363983
244	0.5665145364
245	0.5663307172
246	0.5662432288
247	0.5661517051
248	0.5660226053
249	0.5659161427
250	0.5658293075
251	0.5655872822
252	0.5654649099
253	0.5652241765
254	0.5651599379
255	0.5649701535
256	0.5648301751
257	0.5646553632
258	0.5645408275
259	0.5644736571
260	0.5642017886
261	0.5640963999
262	0.5640141797
263	0.5637326851
264	0.5636189625
265	0.5634212893
266	0.5633569611
267	0.5632654256
268	0.5631344997
269	0.5628900067
270	0.5627610752
271	0.5625500094
272	0.5623880747
273	0.5623259463
274	0.5621661726
275	0.5619142914
276	0.5616614595
277	0.5615184485
278	0.561424599
279	0.5613230938
280	0.5612346908
281	0.5610873018
282	0.5609576458
283	0.5608228222
284	0.5607670927
285	0.5606979105
286	0.560594751
287	0.5604574325
288	0.5603396828
289	0.5602313038
290	0.5599468118
291	0.5598181464
292	0.5595716653
293	0.5594606505
294	0.5593407952
295	0.5590979477
296	0.5589992784
297	0.5588709383
298	0.5587304073
299	0.5584972345
