iter	Passed	Remaining
0	222	66467
1	338	50460
2	438	43390
3	501	37082
4	603	35619
5	668	32768
6	772	32323
7	850	31049
8	903	29224
9	946	27453
10	1038	27289
11	1140	27372
12	1202	26536
13	1288	26332
14	1383	26291
15	1468	26064
16	1547	25765
17	1639	25681
18	1732	25615
19	1821	25500
20	1899	25242
21	1985	25085
22	2074	24987
23	2164	24894
24	2251	24763
25	2337	24635
26	2421	24485
27	2517	24453
28	2596	24263
29	2676	24091
30	2768	24023
31	2854	23907
32	2935	23747
33	2986	23366
34	3051	23105
35	3152	23117
36	3253	23128
37	3300	22754
38	3377	22602
39	3466	22533
40	3547	22407
41	3637	22345
42	3725	22264
43	3812	22182
44	3896	22080
45	3941	21763
46	4034	21719
47	4126	21661
48	4193	21482
49	4237	21189
50	4286	20927
51	4328	20642
52	4372	20376
53	4465	20344
54	4550	20269
55	4636	20201
56	4741	20213
57	4831	20159
58	4913	20070
59	4988	19954
60	5084	19922
61	5170	19849
62	5221	19641
63	5296	19531
64	5381	19455
65	5472	19402
66	5552	19309
67	5590	19074
68	5683	19026
69	5770	18961
70	5859	18897
71	5915	18732
72	6009	18688
73	6104	18644
74	6152	18458
75	6226	18352
76	6315	18290
77	6412	18251
78	6500	18184
79	6590	18124
80	6628	17920
81	6722	17873
82	6810	17805
83	6897	17736
84	6985	17669
85	7040	17519
86	7087	17352
87	7132	17182
88	7216	17109
89	7273	16970
90	7356	16896
91	7440	16822
92	7528	16757
93	7617	16694
94	7708	16634
95	7792	16558
96	7886	16504
97	7942	16371
98	8016	16276
99	8103	16207
100	8220	16196
101	8302	16116
102	8344	15959
103	8377	15787
104	8522	15826
105	8601	15741
106	8675	15648
107	8749	15554
108	8841	15492
109	8932	15429
110	9030	15376
111	9100	15275
112	9191	15210
113	9274	15132
114	9346	15035
115	9417	14937
116	9506	14869
117	9600	14807
118	9687	14734
119	9771	14657
120	9855	14579
121	9944	14509
122	10031	14434
123	10116	14358
124	10207	14290
125	10285	14203
126	10375	14134
127	10456	14050
128	10542	13974
129	10638	13911
130	10722	13833
131	10810	13759
132	10893	13678
133	10984	13607
134	11066	13525
135	11151	13447
136	11246	13380
137	11340	13312
138	11436	13246
139	11517	13162
140	11594	13075
141	11651	12964
142	11721	12869
143	11815	12800
144	11906	12728
145	11938	12592
146	11970	12459
147	12062	12388
148	12149	12312
149	12236	12236
150	12328	12164
151	12420	12093
152	12510	12020
153	12615	11960
154	12709	11889
155	12797	11813
156	12883	11734
157	12973	11659
158	13067	11588
159	13166	11520
160	13266	11453
161	13357	11378
162	13439	11296
163	13503	11197
164	13545	11082
165	13635	11006
166	13725	10930
167	13808	10849
168	13893	10769
169	13980	10690
170	14073	10616
171	14155	10534
172	14244	10456
173	14332	10378
174	14434	10310
175	14525	10233
176	14604	10148
177	14699	10075
178	14791	9998
179	14877	9918
180	14965	9838
181	15059	9763
182	15146	9684
183	15240	9608
184	15322	9524
185	15420	9451
186	15472	9349
187	15541	9258
188	15630	9179
189	15724	9103
190	15810	9022
191	15890	8938
192	15970	8853
193	16063	8776
194	16146	8694
195	16224	8609
196	16311	8528
197	16403	8450
198	16495	8371
199	16572	8286
200	16660	8205
201	16716	8110
202	16791	8023
203	16852	7930
204	16897	7830
205	16983	7749
206	17041	7656
207	17135	7579
208	17206	7491
209	17253	7394
210	17297	7296
211	17391	7219
212	17483	7141
213	17573	7062
214	17672	6986
215	17760	6906
216	17849	6827
217	17932	6745
218	18014	6663
219	18138	6595
220	18206	6508
221	18293	6427
222	18345	6334
223	18431	6253
224	18522	6174
225	18607	6092
226	18693	6011
227	18777	5929
228	18865	5849
229	18947	5766
230	19037	5686
231	19125	5605
232	19212	5524
233	19302	5444
234	19392	5363
235	19486	5284
236	19583	5205
237	19687	5128
238	19785	5049
239	19877	4969
240	19979	4891
241	20070	4810
242	20169	4731
243	20269	4652
244	20348	4567
245	20439	4486
246	20531	4405
247	20628	4325
248	20722	4244
249	20798	4159
250	20852	4070
251	20909	3982
252	20979	3897
253	21038	3810
254	21118	3726
255	21207	3645
256	21313	3565
257	21405	3484
258	21503	3404
259	21601	3323
260	21695	3241
261	21786	3159
262	21888	3079
263	21976	2996
264	22059	2913
265	22151	2831
266	22202	2744
267	22291	2661
268	22404	2581
269	22491	2499
270	22577	2416
271	22662	2332
272	22751	2250
273	22838	2167
274	22924	2084
275	22979	1998
276	23025	1911
277	23071	1825
278	23117	1740
279	23161	1654
280	23204	1568
281	23299	1487
282	23383	1404
283	23430	1320
284	23516	1237
285	23610	1155
286	23703	1073
287	23804	991
288	23885	909
289	23971	826
290	24050	743
291	24140	661
292	24197	578
293	24243	494
294	24320	412
295	24402	329
296	24489	247
297	24573	164
298	24657	82
299	24706	0
